event_id,project_id,mapping_status,mapping_method,source_type,source_file,briefing_date,publication_date,headline,primary_geography,geography_basis,event_direction,media_tone,mandate_class,capacity_reported_mtpa,capacity_additive,item_url,report_url,verification_status
2026-06-12#07,uk-morecambe,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-09,Spirit Energy's MNZ Peak Cluster CCS enters NSTA 'Assess Phase' for Morecambe storage licence,United Kingdom,canonical physical project location,neutral,,not-dated,3,no — evidence only; canonical capacity register controls totals,https://worldoil.com/news/2026/6/9/major-uk-ccs-project-clears-milestone-toward-offshore-co2-storage/,,item-link
2026-06-15#01,uk-northern-endurance,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,"Progressive Energy, Mission Zero and Airhive launch UnionDAC — 60ktpa Teesside DAC",United Kingdom,canonical physical project location,positive,,corporate/project milestone,0.06,no — evidence only; canonical capacity register controls totals,https://www.qcintel.com/carbon/article/uk-dac-project-targets-60-000-tonnes-year-facility-by-2032-66711.html,,item-link
2026-06-15#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,São Paulo state launches Brazil's first sugarcane-ethanol BECCS pilot,Brazil,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/521372/,,item-link
2026-06-15#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,EU member states endorse extension of CBAM to ~180 downstream steel and aluminium goods from 2028,European Union,single event geography; entity not mapped,neutral,,government target,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/521735/,,item-link
2026-06-15#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,UK confirms imminent 2026 UK ETS auction-calendar revision to absorb maritime inclusion from 1 July,United Kingdom,single event geography; entity not mapped,neutral,,legislated/regulatory mandate,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/521736/,,item-link
2026-06-15#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-11,"Heirloom, TKMS and thyssenkrupp Calvion sign two MoUs to commercialise limestone-based DAC in Alberta",Canada,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/heirloom-tkms-and-thyssenkrupp-calvion-partner-on-large-scale-dac-in-canada/,,item-link
2026-06-15#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,"Dutch government retires ~7,000 t of durable carbon-removal credits to offset official-flight emissions",Netherlands,single event geography; entity not mapped,positive,,not-dated,0.007,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/521714/,,item-link
2026-06-15#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,Singapore inks cooperation agreements with Verra and Gold Standard to expand verification role,Singapore,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/521478/,,item-link
2026-06-15#08,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,CCS Energy Attribute Certificate (CCS EAC) Standard enters formal stakeholder window,United States,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/ccs-eac-standard-gains-attention-as-energy-markets-seek-better-carbon-capture-accounting/,,item-link
2026-06-15#09,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-15,2026-06-12,'Save Louisiana' community forum on data-centre-driven CCS pipeline build-out gains national pickup,United States,single event geography; entity not mapped,negative,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.aol.com/articles/save-louisiana-group-host-meeting-090825000.html,,item-link
2026-06-16#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-15,E.ON awards Capsol BECCS feasibility study at Norrköping,Sweden,single event geography; entity not mapped,positive,,not-dated,0.5,no — evidence only; canonical capacity register controls totals,https://www.bioenergy-news.com/news/e-on-awards-capsol-carbon-capture-feasibility-study-at-norrkoping-biomass-facility/,,item-link
2026-06-16#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-15,US CDR advocates and Indigenous non-profits launch Tribal-stewardship guides,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/520237/,,item-link
2026-06-16#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-15,NoviqTech pivots to biochar CDR via Coralia acquisition,Australia,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/noviqtech-to-divests-tech-assets-as-it-shifts-toward-cdr/,,item-link
2026-06-16#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-15,Isometric and Howden launch CORSIA insurance RFP for carbon-removal credits,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/isometric-launches-corsia-insurance-rfp-with-howden/,,item-link
2026-06-16#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-11,"Heirloom, TKMS and thyssenkrupp Calvion sign MoUs to commercialise large-scale DAC in Alberta",Canada,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/heirloom-tkms-and-thyssenkrupp-calvion-partner-on-large-scale-dac-in-canada/,,item-link
2026-06-16#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-12,"Gasunie, EBN, Eni, OGE, Shell and TotalEnergies sign MoU on Delta Rhine Corridor cross-border CO₂ network",,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/gasunie-and-partners-advance-plans-for-cross-border-co2-network/,,item-link
2026-06-16#07,dk-accsion,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-16,2026-06-09,Denmark awards Aalborg Portland up to DKK 16.5 billion (~€2.2bn) in CCS state aid for ACCSION project,Denmark,canonical physical project location,positive,,corporate/project milestone,1.25,no — evidence only; canonical capacity register controls totals,https://ens.dk/en/press/first-tender-ccus-subsidy-scheme-has-been-finalized-danish-energy-agency-awards-contract,,item-link
2026-06-17#01,au-moomba-ccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-17,2026-06-16,Inside Moomba CCS: a first field report (Wood Mackenzie),Australia,canonical physical project location,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.woodmac.com/reports/energy-markets-inside-moomba-ccs-a-first-field-report-150479259,,item-link
2026-06-17#02,my-kasawari,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-17,2026-06-16,Full steam ahead at Malaysian offshore CCS project,Malaysia,canonical physical project location,positive,,corporate/project milestone,3.3,no — evidence only; canonical capacity register controls totals,https://www.upstreamonline.com/carbon-capture/full-steam-ahead-at-malaysian-offshore-ccs-project/2-1-2003884,,item-link
2026-06-17#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-17,2026-06-16,UP Catalyst unveils Finland graphite production plans using captured CO₂,Finland,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.gasworld.com/story/up-catalyst-unveils-finland-graphite-production-plans/2252216.article/,,item-link
2026-06-17#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-17,2026-06-16,"Europe needs a 65-ship CO₂ carrier fleet and 33 ports by 2050, Xodus study finds",,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,320,no — evidence only; canonical capacity register controls totals,https://www.marinelink.com/news/europe-needs-ship-co-fleet-support-ccs-540349,,item-link
2026-06-17#05,us-stratos,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-17,2026-06-16,Why Occidental's STRATOS DAC hub matters for US energy,United States,canonical physical project location,neutral,,not-dated,0.5,no — evidence only; canonical capacity register controls totals,https://www.ad-hoc-news.de/boerse/news/ueberblick/carbon-capture-bet-why-occidental-petroleum-s-stratos-hub-matters-for/69543687,,item-link
2026-06-19#01,au-myrtle,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-19,2026-06-18,Australia opens the world's first commercial carbon refinery on Kooragang Island,Australia,canonical physical project location,positive,,not-dated,0.0025,no — evidence only; canonical capacity register controls totals,https://www.miningweekly.com/article/australia-opens-first-carbon-refinery-making-new-products-from-captured-carbon-dioxide-2026-06-18,,item-link
2026-06-19#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-19,2026-06-18,JERA charters MOL and NYK ammonia carriers to ship CCS-enabled fuel from Louisiana to Japan,,multi-country or global event; non-additive until adjudicated,neutral,,commercial deadline,2.3,no — evidence only; canonical capacity register controls totals,https://splash247.com/mol-and-nyk-seal-ammonia-carrier-charters-with-jera/,,item-link
2026-06-19#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-19,2026-06-17,Belgium and UK sign first London Protocol arrangement for cross-border CO₂ storage,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/belgium-and-uk-sign-agreement-to-enable-cross-border-co2-storage/,,item-link
2026-06-19#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-19,2026-06-17,"Frontier coalition doubles to US$1.8 bn after Anthropic, Google, Stripe top up carbon-removal AMC",United States,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://techcrunch.com/2026/06/17/anthropic-becomes-first-ai-startup-to-join-the-frontier-carbon-removal-coalition/,,item-link
2026-06-19#05,uk-morecambe,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-19,2026-06-09,Spirit Energy's Morecambe Net Zero CCS enters NSTA Assess Phase,United Kingdom,canonical physical project location,positive,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://worldoil.com/news/2026/6/9/major-uk-ccs-project-clears-milestone-toward-offshore-co2-storage/,,item-link
2026-06-22#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-19,Bonn climate talks close in 'gridlock'; CCS/CDR sidelined despite IPCC role,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.carbonbrief.org/debriefed-19-june-2026-bonn-talks-end-in-gridlock-energys-new-era-oceans-in-climate-negotiations/,,item-link
2026-06-22#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-19,Saline-aquifer CCS proposed as US data-centre decarbonisation pathway,United States,single event geography; entity not mapped,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://www.miragenews.com/underground-carbon-capture-may-curb-data-center-1695256/,,item-link
2026-06-22#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-19,"Climeworks Solutions signs 14 CDR portfolio deals totalling ~450,000 t in H1 2026",Switzerland,single event geography; entity not mapped,neutral,,not-dated,0.45,no — evidence only; canonical capacity register controls totals,https://climeworks.com/press-release/climeworks-solutions-announces-strong-growth-with-14-new-partnerships,,item-link
2026-06-22#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-19,IEEFA briefing: 'Why carbon capture and storage is not the solution',,multi-country or global event; non-additive until adjudicated,neutral,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://ieefa.org/resources/why-carbon-capture-and-storage-not-solution,,item-link
2026-06-22#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-18,Burckhardt Compression wins compressor order for Northern Lights' first industrial-scale LCO₂ carrier,Norway,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.globenewswire.com/news-release/2026/06/18/3313954/0/en/Burckhardt-Compression-secures-milestone-order-for-first-industrial-scale-Liquefied-CO-carrier-supporting-Northern-Lights-CCS-project.html,,item-link
2026-06-22#06,my-kasawari,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-15,Petronas advances Duyong offshore Peninsular Malaysia CCS site survey,Malaysia,canonical physical project location,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.upstreamonline.com/carbon-capture/full-steam-ahead-at-malaysian-offshore-ccs-project/2-1-2003884,,item-link
2026-06-22#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-22,2026-06-16,Equinor Capital Markets Day reaffirms slower-than-expected CCS commitments,Norway,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.equinor.com/news/20260616-equinor-capital-markets-day-2026,,item-link
2026-06-23#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-23,2026-06-22,EU leaders' draft summit conclusions: extra free ETS allowances for heavy industry from January 2026,European Union,single event geography; entity not mapped,neutral,,government target,,no — evidence only; canonical capacity register controls totals,https://esgnews.com/eu-plans-extra-free-co2-permits-for-heavy-industry-as-competitiveness-pressure-builds/,,item-link
2026-06-23#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-23,2026-06-22,Chevron–Microsoft 'Project Kilby' 2.67 GW Permian gas PPA lands without CCS,United States,single event geography; entity not mapped,positive,,commercial deadline,,no — evidence only; canonical capacity register controls totals,https://www.chevron.com/newsroom/2026/q2/chevron-signs-20-year-power-agreement-with-microsoft-for-west-texas-data-center,,item-link
2026-06-24#01,uk-drax-beccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-24,2026-06-24,UK Environment Agency consultation on Drax BECCS permit variation closes today,United Kingdom,canonical physical project location,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.gov.uk/government/news/consultation-opens-on-drax-power-permit-draft-decision,,item-link
2026-06-24#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-24,2026-06-23,EU Horizon Europe TITAN project validates biogas-to-hydrogen pathway with solid-carbon co-product,European Union,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.europeanbiogas.eu/eu-funded-project-validates-technology-converting-biogas-into-hydrogen-and-solid-carbon-while-supporting-carbon-storage/,,item-link
2026-06-24#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-24,2026-06-23,Gevo formalises BECCS-anchored carbon-removal business with new credits platform,United States,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.manilatimes.net/2026/06/23/tmt-newswire/globenewswire/gevo-announces-expansion-of-carbon-business-launch-of-new-digital-platform-to-accelerate-market-access/2371018,,item-link
2026-06-25#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-25,2026-06-24,Federal Environment Minister makes administrative determination on Browse CCS,Australia,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/525296/,,item-link
2026-06-25#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-25,2026-06-24,State of Carbon Dioxide Removal — 3rd Edition published at London Climate Action Week,,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,18.1,no — evidence only; canonical capacity register controls totals,https://www.stateofcdr.org/asset/State-of-Carbon-Dioxide-Removal-Edition-3_June-2026.pdf,,item-link
2026-06-25#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-25,2026-06-24,'Permanence Trust' mechanism for carbon-removal reversal risk unveiled at London Climate Action Week,,multi-country or global event; non-additive until adjudicated,negative,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/,,item-link
2026-06-25#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-25,2026-06-16,UK and Belgium sign first London Protocol Article 6 arrangement for cross-border CO₂ storage,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/,,item-link
2026-06-25#05,au-myrtle,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-25,2026-06-22,Australia opens first commercial carbon refinery at Kooragang Island,Australia,canonical physical project location,positive,,not-dated,0.0025,no — evidence only; canonical capacity register controls totals,https://www.reuters.com/,,item-link
2026-06-25#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-25,2026-06-19,"Climeworks Solutions: 14 new CDR portfolio partnerships totalling ~450,000 t in H1 2026",,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,0.45,no — evidence only; canonical capacity register controls totals,https://climeworks.com/,,item-link
2026-06-26#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,Summit Carbon Solutions $15 million pipe-supply lawsuit proceeds toward Delaware trial,United States,single event geography; entity not mapped,negative,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/summit-carbon-solutions-faces-15m-lawsuit-as-pipeline-delays-continue/,,item-link
2026-06-26#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,Canada backs ASEAN carbon capture push with C$1.38 million through ASEAN-Canada Trust Fund,,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/canada-backs-asean-carbon-capture-push-with-c1-38m/,,item-link
2026-06-26#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,Aircapture wins Tencent CarbonX 2.0 award for microwave-driven DAC; 100 t/yr Kenya pilot mandated,,multi-country or global event; non-additive until adjudicated,positive,,not-dated,0.0001,no — evidence only; canonical capacity register controls totals,https://www.prnewswire.com/news-releases/aircaptures-patented-microwave-direct-air-capture-technology-wins-tencent-carbonx-2-0-award-302809973.html,,item-link
2026-06-26#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,Sumitomo Mitsui Banking takes equity stake in Deep Sky — first CDR/DAC equity investment by SMBC,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/deep-sky-and-sumitomo-mitsui-banking-corporation-to-advance-dac-and-cdr-in-japan/,,item-link
2026-06-26#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,"Tencent's CarbonX 2.0 announces 16 winners sharing ~US$30 million across CDR, CCUS-for-steel, CCU, LDES",China,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/16-winners-will-share-the-nearly-30m-award-from-tencents-carbonx-2-0-program/,,item-link
2026-06-26#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,ProPublica / Drilled long-form investigation: 'Why carbon capture can't conceivably solve climate change',United States,single event geography; entity not mapped,neutral,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://projects.propublica.org/why-carbon-capture-cant-solve-climate-change/,,item-link
2026-06-26#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-26,2026-06-25,Launch Base Africa: 'Kenya's carbon-capture startups land a share of Tencent's $30M climate fund',Kenya,single event geography; entity not mapped,neutral,positive,not-dated,,no — evidence only; canonical capacity register controls totals,https://launchbaseafrica.com/2026/06/25/kenyas-carbon-capture-startups-land-a-share-of-tencents-30m-climate-fund/,,item-link
2026-06-29#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,Helms Geomarine secures multi-year Petronas CCS Solutions contract for offshore soil investigation across Malaysian CCS hubs,Malaysia,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.offshore-energy.biz/local-company-to-carry-out-soil-investigations-for-malaysian-ccs-developments/,,item-link
2026-06-29#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,Flanders unveils €2 billion industrial decarbonisation package with €1.2 billion earmarked for CCS,Belgium,single event geography; entity not mapped,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/flanders-to-invest-e2b-in-carbon-capture-and-industrial-decarbonization/,,item-link
2026-06-29#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,CCSA launches European CCUS National Associations Forum with nine founding country bodies,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/nine-countries-join-ccsa-to-coordinate-ccus-policies-in-europe/,,item-link
2026-06-29#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,EU CRCF Buyers' Club platform goes live; targets initial permanent-removals purchases by December 2026,European Union,single event geography; entity not mapped,positive,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/the-official-eu-crcf-buyers-club-website-is-now-live/,,item-link
2026-06-29#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,SolarDuck and MARIN secure €3.2 million RVO grant for offshore floating power hub designed to serve CCS subsea infrastructure,Netherlands,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.offshore-energy.biz/dutch-floating-power-hub-for-remote-subsea-assets-secures-e3-2m-govt-push/,,item-link
2026-06-29#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,"Captura closes US$12.5 million Series B led by Equinor Ventures with Aramco Ventures, Eni Next, JAL Innovation Fund and Hitachi Ventures co-investing",United States,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/captura-secures-new-12-5m-to-grow-the-us-production-of-its-bipolar-membrane-electrodialysis-tech/,,item-link
2026-06-29#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-29,2026-06-26,Paris court orders TotalEnergies to extend climate-vigilance plan to Scope 3 emissions within six months,France,single event geography; entity not mapped,positive,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.euronews.com/2026/06/26/paris-court-rules-totalenergies-must-account-for-indirect-emissions-and-tighten-climate-po,,item-link
2026-06-30#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-29,Deep Sky delivers North America's first certified DAC carbon-removal credits,Canada,single event geography; entity not mapped,positive,,commercial deadline,0.003,no — evidence only; canonical capacity register controls totals,https://www.theglobeandmail.com/business/article-deep-sky-first-direct-air-capture-carbon-credits-rbc-microsoft/,,item-link
2026-06-30#02,ca-varme-heartland,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-29,Alberta-Ottawa industrial carbon price reset to $140/t puts Canadian CCS pipeline at risk,Canada,canonical physical project location,negative,,government target,1.6,no — evidence only; canonical capacity register controls totals,https://www.cbc.ca/news/canada/calgary/bakx-varme-edmonton-smith-carney-carbon-tax-tier-9.7247705,,item-link
2026-06-30#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-29,UK Track-1 CCUS projects must move into construction to unlock Track-2 capital — webinar panel,United Kingdom,single event geography; entity not mapped,negative,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/,,item-link
2026-06-30#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-29,EU Commission preparing legislation to bring carbon removals into the ETS — accounting choices flagged as policy headache,European Union,single event geography; entity not mapped,negative,,government target,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/,,item-link
2026-06-30#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-29,Microsoft and RBC anchor first long-term CDR deliveries in North America,Canada,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://sustainablebiz.ca/deep-sky-first-major-sale-carbon-removal-credits-rbc-microsoft,,item-link
2026-06-30#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-26,Nine national CCUS associations form European CCUS National Associations Forum,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/nine-countries-join-ccsa-to-coordinate-ccus-policies-in-europe/,,item-link
2026-06-30#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-26,Helms Geomarine wins multi-year Petronas CCS Solutions offshore geotechnical contract,Malaysia,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.offshore-energy.biz/local-company-to-carry-out-soil-investigations-for-malaysian-ccs-developments/,,item-link
2026-06-30#08,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-30,2026-06-25,ProPublica / Drilled investigation: 'Why Carbon Capture Can't Conceivably Solve Climate Change',United States,single event geography; entity not mapped,neutral,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://projects.propublica.org/why-carbon-capture-cant-solve-climate-change/,,item-link
2026-Q2#01,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,Microsoft signs major BECCS carbon removal deal with Svante,Canada,single event geography; entity not mapped,neutral,,not-dated,0.09,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#02,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,Twelve begins operations at AirPlant One,United States,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#03,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,"ExxonMobil does not renew 163 federal offshore leases in the Gulf of Mexico, widely considered to be used for CCS",United States,single event geography; entity not mapped,negative,,corporate/project milestone,30,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#05,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,Marquis Carbon Injection receives final Class VI permit,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#06,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,One Carbon Partnership receives final Class VI permit,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#07,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,PureField Carbon Capture receives final Class VI permit,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#08,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,River Parish Sequestration receives final Class VI permit,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
2026-Q2#09,,unmatched,,periodic_report,dashboard/data/quarterly/2026-Q2.jsonl,2026-06-30,,TerraSpark Energy Campus wins $18.5M DOE grant for West Virginia power and carbon capture project,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,,https://www.globalccsinstitute.com/resources/publications-reports-research/,report-level provenance
